"",Z,M,highest,fe,Gene,Specificity,Precision,ExpressionFraction
LACTB,-3.91857721300971,-0.630122928982708,FALSE,0.0299003322259136,LACTB,0.925542588583197,0.048582995951417,0.0299003322259136
ASCL2,-3.91859332911811,-0.327504123353242,FALSE,0.045265780730897,ASCL2,0.911322751322751,0.0610644257703081,0.045265780730897
PM20D2,-3.91964482071623,-0.181479986229281,FALSE,0.0485880398671096,PM20D2,0.90810925259369,0.0631408526713438,0.0485880398671096
FAM114A1,-3.91976476901552,-0.114085480175373,FALSE,0.0672757475083057,FAM114A1,0.890592667268,0.072841726618705,0.0672757475083057
BET1L,-3.92077985197672,-0.0623786400817474,FALSE,0.071843853820598,BET1L,0.886175408791676,0.0746655157531291,0.071843853820598
COX11,-3.92182973800898,-0.0775769074164137,FALSE,0.0697674418604651,COX11,0.888222493498222,0.0738786279683377,0.0697674418604651
BTBD7,-3.92383060085849,0.0929081414729316,FALSE,0.071843853820598,BTBD7,0.885379061371841,0.0741852487135506,0.071843853820598
BCAT2,-3.92756028799435,-0.135259897378578,FALSE,0.0614617940199336,BCAT2,0.895975823127088,0.0701421800947867,0.0614617940199336
PTPMT1,-3.92774444841131,-0.249357404793811,FALSE,0.0552325581395349,PTPMT1,0.901991947446493,0.0670700958144226,0.0552325581395349
ZNF326,-3.92866496862792,-0.276029710098616,FALSE,0.0506644518272425,ZNF326,0.9060729602372,0.0643459915611814,0.0506644518272425
MAP3K11,-3.93037632808346,-0.0616330103245035,FALSE,0.042358803986711,MAP3K11,0.913259639287037,0.0585533869115959,0.042358803986711
ZFPL1,-3.93254173106506,-0.253470016747898,FALSE,0.0618770764119601,ZFPL1,0.895811240721103,0.0704824976348155,0.0618770764119601
RAB6A,-3.93289604020638,0.116472003095607,FALSE,0.0971760797342193,RAB6A,0.860399467376831,0.0819614711033275,0.0971760797342193
SHPRH,-3.93302859567766,-0.229286707079806,FALSE,0.063953488372093,SHPRH,0.893927340228056,0.0714948932219127,0.063953488372093
NOTCH2,-3.93541874053766,-0.912400868733244,FALSE,0.0278239202657807,NOTCH2,0.927726744799916,0.0466573816155989,0.0278239202657807
INSIG2,-3.93659438467989,-0.562159708799062,FALSE,0.0274086378737542,INSIG2,0.927519400306182,0.0458651841556637,0.0274086378737542
MCMBP,-3.93787384118399,-0.297054347921723,FALSE,0.0427740863787375,MCMBP,0.913360837829261,0.0591614014933946,0.0427740863787375
MGLL,-3.93814636059966,-0.207532984406156,FALSE,0.0747508305647841,MGLL,0.883636943013437,0.0759173344580346,0.0747508305647841
TC2N,-3.93849350624658,-0.0113970453701118,FALSE,0.0942691029900332,TC2N,0.864018741348099,0.0816253146350234,0.0942691029900332
PLEKHO1,-3.93854133563575,-1.11275463650531,FALSE,0.01578073089701,PLEKHO1,0.938063359865057,0.0313272877164056,0.01578073089701
RAB3GAP1,-3.94164300600574,-0.0544319750968745,FALSE,0.0664451827242525,RAB3GAP1,0.890816488938405,0.0721370604147881,0.0664451827242525
ZNF358,-3.94238180496754,-0.00271520854406138,FALSE,0.0606312292358804,ZNF358,0.895880824895298,0.0691943127962085,0.0606312292358804
PTPA,-3.94697498089033,-0.0305885208658863,FALSE,0.095514950166113,PTPA,0.863358006283615,0.0822603719599428,0.095514950166113
MRPL1,-3.94955379207609,-0.450196524560036,FALSE,0.0498338870431894,MRPL1,0.906929959235534,0.0638977635782748,0.0498338870431894
SDSL,-3.95281848074639,-0.00887686001407051,FALSE,0.147009966777409,SDSL,0.812757973733584,0.0920197556537562,0.147009966777409
ZNF83,-3.95342229744096,-0.241242772329522,FALSE,0.0585548172757475,ZNF83,0.898664405342379,0.0686799805163176,0.0585548172757475
PLRG1,-3.95727694758362,-0.0954471306869449,FALSE,0.0726744186046512,PLRG1,0.88483593501115,0.0746587030716724,0.0726744186046512
KIAA0040,-3.9576820043093,-0.781851400722814,FALSE,0.0299003322259136,KIAA0040,0.925172941859851,0.048354600402955,0.0299003322259136
TPMT,-3.95795933013788,-0.228446162142345,FALSE,0.0606312292358804,TPMT,0.896835073954302,0.0697896749521989,0.0606312292358804
PSMD10,-3.95892437497493,-0.79278958488146,FALSE,0.0269933554817276,PSMD10,0.927892736486486,0.0454227812718379,0.0269933554817276
ATF1,-3.96035231895787,-0.160660457472605,FALSE,0.0523255813953488,ATF1,0.903934756129852,0.0649484536082474,0.0523255813953488
RPS27L,-3.96309984739216,-0.0222511094491089,FALSE,0.468853820598007,RPS27L,0.437304250559284,0.100893655049151,0.468853820598007
ATOX1,-3.96326687802478,0.0727458802468686,FALSE,0.344269102990033,ATOX1,0.584323432343234,0.0988552349153351,0.344269102990033
NIN,-3.9640677539741,-1.01974677610189,FALSE,0.0249169435215947,NIN,0.929811599556705,0.0431654676258993,0.0249169435215947
KMT2B,-3.9654991403365,-0.416386012570076,FALSE,0.0352990033222591,KMT2B,0.920101458465441,0.0532247964934252,0.0352990033222591
NMD3,-3.96604032554386,-0.271231096474653,FALSE,0.0444352159468439,NMD3,0.911385038620252,0.0600448933782267,0.0444352159468439
COQ7,-3.96636176523096,-0.656075303429339,FALSE,0.029485049833887,COQ7,0.925599324110254,0.047972972972973,0.029485049833887
TINAGL1,-3.96655246811626,-0.261960086430372,FALSE,0.0481727574750831,TINAGL1,0.907531890118033,0.0622651637144391,0.0481727574750831
BRD3,-3.96843439987202,-0.0585644715085376,FALSE,0.061046511627907,BRD3,0.895292121726222,0.0692742695570217,0.061046511627907
CCDC57,-3.96844490117576,0.125100917275105,FALSE,0.116279069767442,CCDC57,0.840781675476534,0.0858369098712446,0.116279069767442
FOXC1,-3.96852606051863,-0.310153409664855,FALSE,0.0514950166112957,FOXC1,0.90489806724914,0.0645833333333333,0.0514950166112957
HPF1,-3.97027034254043,-0.0835190219010151,FALSE,0.0602159468438538,HPF1,0.895886344359627,0.0687529634898056,0.0602159468438538
SCO2,-3.97066107097233,-0.590836736640272,FALSE,0.0348837209302326,SCO2,0.920528401585205,0.052896725440806,0.0348837209302326
FBXO34,-3.97109240419855,-0.127655600300014,FALSE,0.0614617940199336,FBXO34,0.895498648003817,0.0698442661632846,0.0614617940199336
DCAF11,-3.97180704206003,0.0293172026156041,FALSE,0.079734219269103,DCAF11,0.87734495403093,0.0768,0.079734219269103
