"",Z,M,highest,fe,Gene,Specificity,Precision,ExpressionFraction
NUDT7,-3.25084973293456,-2.05121518986193,FALSE,0.0060459492140266,NUDT7,0.92863885218048,0.0130548302872063,0.0060459492140266
FAM118A,-3.25095210727588,-0.78489264953429,FALSE,0.0519951632406288,FAM118A,0.887431070545731,0.0677165354330709,0.0519951632406288
ZNF195,-3.25112973512646,-0.489646652693324,FALSE,0.0253929866989117,ZNF195,0.910812346146563,0.0426829268292683,0.0253929866989117
NCOA1,-3.25335327076736,-0.101508801775024,FALSE,0.0290205562273277,NCOA1,0.906972338006821,0.0466019417475728,0.0290205562273277
TPSG1,-3.25422984891557,-1.7314261218131,FALSE,0.0217654171704958,TPSG1,0.915215745647237,0.0386266094420601,0.0217654171704958
RMND1,-3.25433544205855,-0.708167436937929,FALSE,0.0181378476420798,RMND1,0.917533572914696,0.0332594235033259,0.0181378476420798
QRSL1,-3.25449068318711,-0.0603390329071569,FALSE,0.030229746070133,QRSL1,0.906196702671973,0.0480769230769231,0.030229746070133
TOB2,-3.25483143152576,0.559274270772946,FALSE,0.178960096735187,TOB2,0.746410554908809,0.101718213058419,0.178960096735187
CBLB,-3.25644282152564,-1.72441341017757,FALSE,0.0145102781136638,CBLB,0.92117202268431,0.027972027972028,0.0145102781136638
RYK,-3.25648079211521,-0.761882798261607,FALSE,0.0193470374848851,RYK,0.916193719258418,0.0348583877995643,0.0193470374848851
CHID1,-3.2574452929434,0.333409867534942,FALSE,0.122128174123337,CHID1,0.81195923860796,0.0936051899907322,0.122128174123337
MRPL2,-3.25769551025672,0.298611135317678,FALSE,0.154776299879081,MRPL2,0.775608813297256,0.0993017843289372,0.154776299879081
TRIM36,-3.25864200076247,-0.381764119369747,FALSE,0.0193470374848851,TRIM36,0.916193719258418,0.0348583877995643,0.0193470374848851
TUBG1,-3.25917692757861,-0.214931932808446,FALSE,0.0592503022974607,TUBG1,0.878735960403579,0.0714285714285714,0.0592503022974607
RRAGC,-3.26094149996782,-0.858051581571449,FALSE,0.00967351874244256,RRAGC,0.925009444654326,0.0197530864197531,0.00967351874244256
MTF1,-3.26271039341223,-0.881670237993276,FALSE,0.0133010882708585,MTF1,0.921753921753922,0.0258823529411765,0.0133010882708585
STAM2,-3.26287111602869,-1.20756264127822,FALSE,0.0205562273276904,STAM2,0.915421002838221,0.0366379310344828,0.0205562273276904
SNRK,-3.2653986999056,-0.692248891826752,FALSE,0.026602176541717,SNRK,0.909469696969697,0.044,0.026602176541717
NUMA1,-3.26564800661936,0.4867796850442,TRUE,0.128174123337364,NUMA1,0.804849884526559,0.0946428571428571,0.128174123337364
LRIF1,-3.26614285417088,-0.279476721686636,FALSE,0.0241837968561064,LRIF1,0.911586520257478,0.0410677618069815,0.0241837968561064
MIS12,-3.26749824547458,0.224745084298528,FALSE,0.0519951632406288,MIS12,0.885149267921658,0.0664605873261206,0.0519951632406288
OSGIN1,-3.27068496600319,-0.367342908511558,FALSE,0.0532043530834341,OSGIN1,0.884747052111069,0.0676923076923077,0.0532043530834341
DAPK3,-3.27156733307683,0.30571256243705,FALSE,0.143893591293833,DAPK3,0.789311209724098,0.0982658959537572,0.143893591293833
FAM98A,-3.27206036506723,-0.451220631182775,FALSE,0.0157194679564692,FAM98A,0.919266401966345,0.0295454545454545,0.0157194679564692
RASGRP3.AS1,-3.27206036506723,-0.451220631182775,FALSE,0.0157194679564692,RASGRP3.AS1,0.919266401966345,0.0295454545454545,0.0157194679564692
PABIR2,-3.27221266233574,-0.640417099461518,FALSE,0.0193470374848851,PABIR2,0.916004540295119,0.0347826086956522,0.0193470374848851
TBK1,-3.27288328436565,0.226138147573881,FALSE,0.0580411124546554,TBK1,0.878759040730872,0.0700729927007299,0.0580411124546554
C8orf76,-3.27375155740855,-0.27710500457175,FALSE,0.0386940749697703,C8orf76,0.898102466793169,0.0562390158172232,0.0386940749697703
AACS,-3.27552107946129,-0.226331746440716,FALSE,0.0241837968561064,AACS,0.91120787580462,0.0408997955010225,0.0241837968561064
SCYL1,-3.27644592730919,0.352276746453427,FALSE,0.116082224909311,SCYL1,0.819054936611602,0.092485549132948,0.116082224909311
GART,-3.27885481969458,0.252734884789397,FALSE,0.0483675937122128,GART,0.888255416191562,0.0636942675159236,0.0483675937122128
PTPRC,-3.2804700445842,-7.9204578819924,FALSE,0.00120918984280532,PTPRC,0.932654216185625,0.00279329608938548,0.00120918984280532
