"",Z,M,highest,fe,Gene,Specificity,Precision,ExpressionFraction
LSM6,-3.35230368602282,-0.363874954841269,FALSE,0.253658536585366,LSM6,0.684120335110434,0.11140867702196,0.253658536585366
CSNK1A1,-3.35712128376257,-0.526977527883425,FALSE,0.186585365853659,CSNK1A1,0.750706613906162,0.103658536585366,0.186585365853659
WAPL,-3.35819212102052,-0.960833699769401,FALSE,0.0658536585365854,WAPL,0.86866444691084,0.0706806282722513,0.0658536585365854
UBE2E1,-3.35926319335281,-0.708056055870598,FALSE,0.0804878048780488,UBE2E1,0.854467927326659,0.0775558166862515,0.0804878048780488
TIMM9,-3.36020259231562,-0.42362223718698,FALSE,0.117073170731707,TIMM9,0.817486950037286,0.0893023255813954,0.117073170731707
ANAPC5,-3.36428426123214,-0.435528280663343,FALSE,0.176829268292683,ANAPC5,0.758043273753528,0.101327742837177,0.176829268292683
VGLL4,-3.3649060611953,-0.447974058516504,FALSE,0.0951219512195122,VGLL4,0.838721664808621,0.0824524312896406,0.0951219512195122
BMP3,-3.36832558862707,-0.623383770539006,FALSE,0.0585365853658537,BMP3,0.874353288987435,0.0659340659340659,0.0585365853658537
LPCAT4,-3.36832558862707,-0.524705558189063,FALSE,0.159756097560976,LPCAT4,0.77969600300244,0.100383141762452,0.159756097560976
SBNO1,-3.37327894162336,-0.587890334508229,FALSE,0.0841463414634147,SBNO1,0.849935076980152,0.0785876993166287,0.0841463414634147
EIF3B,-3.37701904730626,-0.650243521065277,FALSE,0.0939024390243902,EIF3B,0.840609325654839,0.0823529411764706,0.0939024390243902
AMD1,-3.3783986768934,-0.319761760885082,FALSE,0.170731707317073,AMD1,0.76484962406015,0.100647016534867,0.170731707317073
RPA3,-3.3811223059908,-0.449170002865907,FALSE,0.209756097560976,RPA3,0.731656580937973,0.108108108108108,0.209756097560976
DARS1,-3.38210948650251,-0.612961048033037,FALSE,0.0902439024390244,DARS1,0.844225770516153,0.0810514786418401,0.0902439024390244
GALNT1,-3.38440540194493,-0.354899922683559,FALSE,0.204878048780488,GALNT1,0.73167044595616,0.105793450881612,0.204878048780488
SUN1,-3.38440540194493,-0.93993020636417,FALSE,0.0914634146341463,SUN1,0.845125348189415,0.0825082508250825,0.0914634146341463
PAICS,-3.38520008063092,-0.71593462471531,FALSE,0.0719512195121951,PAICS,0.8622477319015,0.0734744707347447,0.0719512195121951
MCM5,-3.38614919267426,-1.75770662146632,FALSE,0.0158536585365854,MCM5,0.914448320176244,0.0271398747390397,0.0158536585365854
USP47,-3.38810448702844,-0.769485700334358,FALSE,0.0682926829268293,USP47,0.865099925980755,0.0713375796178344,0.0682926829268293
BFAR,-3.38847744491714,-0.589836668909289,FALSE,0.136585365853659,BFAR,0.801795063575168,0.0955631399317406,0.136585365853659
CDHR1,-3.38856519507924,-1.12872230701009,FALSE,0.0378048780487805,CDHR1,0.894271504881194,0.0512396694214876,0.0378048780487805
ASAH1,-3.39196877888078,-0.409546922977349,FALSE,0.219512195121951,ASAH1,0.717234848484849,0.107591153616258,0.219512195121951
CXXC5,-3.39371877877,-1.7188978928506,FALSE,0.0317073170731707,CXXC5,0.900441663599558,0.0458553791887125,0.0317073170731707
PRKCI,-3.39452448272393,-1.18424033213956,FALSE,0.0463414634146341,PRKCI,0.886388786425673,0.0581039755351682,0.0463414634146341
LMNA,-3.39663645939131,-0.352675180743748,FALSE,0.56219512195122,LMNA,0.438487697539508,0.141064871481028,0.56219512195122
HOXA9,-3.39823424100425,-3.70374474319037,FALSE,0.00609756097560976,HOXA9,0.923373052245646,0.0118203309692671,0.00609756097560976
CAPRIN1,-3.4020594318576,-0.428630580164459,FALSE,0.137804878048781,CAPRIN1,0.797082476154853,0.0943238731218698,0.137804878048781
PDS5A,-3.40208130179659,-0.775918827500121,FALSE,0.0658536585365854,PDS5A,0.867184609692934,0.0699481865284974,0.0658536585365854
CD302,-3.40584756149003,-0.834247414044616,FALSE,0.0646341463414634,CD302,0.869058627704827,0.0696452036793693,0.0646341463414634
WIPI2,-3.40672800422614,-0.466920173018536,FALSE,0.130487804878049,WIPI2,0.803848309359238,0.0924805531547105,0.130487804878049
